㐂;匕
匣;丨田匚
匤;丶匚王
匥;匚厶廾
匧;人匚大
匨;匚士爿
匩;匚屮山王
匪;非匚
匫;丿勹匚日曰勿
匬;一𠆢⺉匚月
匭;匚九車
匯;⺡匚隹
匰;匚十口日田
匱;貝目ハ匚
匲;一丶丿匚口大
匳;口人𠆢匚
匵;儿ハ匚口士⺲貝
匸;匚
匹;儿匚
区;匚丶丿
医;矢匚
匼;一𠆢匚口
匽;匚女日
匾;一丨丶丿亅冂匚尸廾戸冊
匿;丿口匚⺾
區;口匚品
十;十
卂;乙十
千;丿十
卅;丨丿一十川
卆;九十
升;丿廾十
午;丿干十
卉;十廾
半;丨二丷十
卋;一丨凵十
卌;一丨
卍;丨一十
卑;十田
卒;十人亠
卓;十日卜
協;十力
南;干十丷冂
単;十⺌田
卙;一丨ハ匚十甘
博;十寸田丶
卛;丶丿十幺糸言
卜;卜
卞;卜亠
占;口卜
卡;一卜土
卣;一卜口
卥;丶丿卜口夕
卦;土卜
卧;匚卜臣
卩;卩
卬;卩厂
卭;卩工
卮;卩厂
卯;卩
印;丨卩
危;勹厂卩
卲;刀卩口
即;艮卩
却;土卩厶
卵;丿卜丶卩
卷;人大二ハ卩
卸;丿止卩
卹;卩皿血
卺;一卩水
卻;口ハ卩谷
卽;匕卩日白
卾;二勹卩口
卿;艮卩
厂;厂
厃;勹厂
厄;卩厂
厇;一丿乙厂
厈;一十厂干
厎;丶厂氏
厓;厂土
厔;一厂厶土至
厖;丶厂尤彡尢
厘;里厂
厙;厂車
厚;子日厂
厝;丨二厂日
原;小白厂
厠;貝目ハ⺉厂
厡;厂日水白
厤;丿厂木禾
厥;欠丷厂屮
厦;一自厂夂
厨;口寸豆丷厂
厩;牙艮儿厂
厪;二十厂口廾革
厫;厂土士攵方
厭;月犬日厂
厮;甘斤ハ厂
厯;厂心木
厰;口⺌冂厂攵
厲;冂厂厶⺾田禸
厳;耳⺌厂攵
厴;丨丶大日月犬田
厵;厂小日白
厶;厶
厷;一丿厶
厸;厶
厺;厶大
去;土厶
厽;厶
叀;一丨十厶日田
参;一厶彡
參;𠆢厶彡
叅;丶丿亅𠆢厶⺣
又;又
叉;又丶
及;丶及乃
友;丿一又
双;又丶
反;又厂
収;丨又
叏;丨十又ユ支
叒;又
叓;丨十又口支
叔;小卜又
叕;丶丿又
取;耳又
受;爪又冖
叙;禾又𠆢
叚;一丨二又口
叛;丷又厂
叝;卩厶又土
叞;二又小尸示
叟;臼支又十
叠;一冖又宀目
叡;ハ卜又目冖
叢;王耳丷又羊
口;囗口
古;口十
句;口勹
另;力口
叧;刀口
叨;口刀
叩;口卩
只;口ハ
叫;丨口十
召;口刀
叭;口ハ
叮;口亅一
可;一口亅
台;口厶
叱;口匕
史;丿口
右;丿一口
叴;九口
叵;匚口
叶;口十
号;一口勹
司;一口亅
叺;口入
吁;口二亅
吂;一丶亠匚口
吃;乙口
各;口夂攵
合;口𠆢一
吉;口士
吊;巾口
吋;口寸
同;口冂一
名;口夕
后;丿一斤口亅厂
吏;丿一口丶
吐;口土
向;口冂
吒;丿匕口
吓;一卜口
吚;丿口ヨ
君;一口丿
吝;口文
吞;一二人口大
吟;口𠆢
吠;犬口
吡;匕口比
吤;丨丿𠆢口
否;丿一口丨丶
吧;乙口已巴
吨;丿乙凵口屯
吩;口刀ハ
吪;丿乙⺅匕口
